,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
60,Fringilla_coelebs,18.3565115461808,20.585348409427,12.0392940066378,15.5975220511494,27.0029251919269,17.6355417231053,Altricial_2,Fringilla,coelebs,Fringillidae,Passeriformes,23,23,Fringilla_coelebs_OUMNH_24647
61,Galbula_dea,23.4241480000632,29.5334366097019,11.6935501726415,14.471410830917,20.6296042032323,11.4991266294189,Altricial_2,Galbula,dea,Galbulidae, Piciformes,28.75,28.75,Galbula_dea_FMNH_376705_ALL_
62,Gavia_immer,130.729448239086,107.282970316649,68.3592808323285,35.0534315951418,153.044472987621,69.349205398555,Precocial_3,Gavia,stellata,Gaviidae,Gaviiformes,1724,1724,Gavia_stellata_NHMUK 1891.7.20.132
63,Glareola_nuchalis,38.7231117573953,43.7007618534987,23.6698704007562,23.2635151743531,38.7603918320502,29.3247850805833,Precocial_3,Glareola,pratincola, Glareolidae, Charadriiformes,79,79,Glareola_pratincola_FMNH_368875
64,Grus_canadensis,223.174664727861,238.328997105091,99.6503864781047,118.190584043688,271.532460812233,233.457257529045,Precocial_3,Grus,leucogeranus,Gruidae,Gruiformes,6760,6760,Grus_leucogeranus_UMZC_344D
65,Haematopus_palliatus,71.4823019658207,72.1279177201869,36.8019112211803,43.7295380392649,79.0493873027363,49.5767034157141,Precocial_3,Haematopus,ostralegus,Haematopodidae,Charadriiformes,615,632.5,Haematopus_ostralegus_FMNH_363899
66,Heliornis_fulica,52.1260242614326,36.0651457349515,34.4037333123628,46.6382740319437,76.7437720773312,40.2431846675532,Precocial_2,Podica,senegalensis,Heliornithidae,Gruiformes,608.5,608.5,Podica_senegalensis_UMZC_209A_
67,Hemiprocne_comata,12.6859722990906,14.2057628590302,10.4046345727667,10.6657960535017,13.9939984319347,5.46908212550151,Semialtricial,Hemiprocne,comata,Hemiprocnidae,Apodiformes,21.35,23.1,Hemiprocne_comata_UMMZ_158224
68,Hirundinea_ferruginea,19.1200847730458,25.0627728796362,14.5579313335911,13.5913851969676,20.0405033073233,11.9534070547953,Altricial_2,Hirundinea,bellicosa,Tyrannidae,Passeriformes,31.6,31.6,Hirundinea_bellicosa_UMMZ_200850
69,Hymenops_perspicillatus,18.8428471667168,23.8846302027563,11.9046729029113,17.4118291651814,33.8953366963755,27.4495624252871,Altricial_2,Hymenops,persipicillata,Tyrannidae,Passeriformes,20.2,20,Hymenops_persipicillata_UMMZ_158790
