,Order,Family,Species,JetzTreeName,Humerus_length_mm,Ulna_length_mm,Radius_length_mm,Carpometacarpus_length_mm,Femur_length_mm,Tibiotarsus_length_mm,Tarsometatarsus_length_mm,Spec_no.,Reference,Body_mass_g,Foraging_niche,TrophicEcology,Habitat,Kipps.dist,Ontogeny,Magnificent7
720,Passeriformes,Motacillidae,Anthus_trivialis,Anthus_trivialis,19.32,24.97,21.75,11.23,16.41,28.65,20.98,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",23.3,Invertivore ground,Invertivore,Woodland,25.2,Altricial_2,Telluraves
721,Passeriformes,Turdidae,Catharus_occidentalis,Catharus_occidentalis,19.65,23.73,21.2,10.8,20.1,39.58,33.51,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",26.2,Invertivore ground,Invertivore,Forest,19.2,Altricial_2,Telluraves
722,Passeriformes,Estrildidae,Erythrura_psittacea,Erythrura_psittacea,14.17,18.04,15.77,8.99,13.59,24.15,17.55,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",11.5,NA,Omnivore,Shrubland,9.7,Altricial_2,Telluraves
723,Passeriformes,Ploceidae,Euplectes_franciscanus,Euplectes_franciscanus,16.75,19.24,17.11,8.71,16.55,26.42,18.86,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",16,Granivore ground,Granivore,Grassland,9.9,Altricial_2,Telluraves
724,Passeriformes,Leiothrichidae,Garrulax_albogularis,Garrulax_albogularis,30.18,34.26,29.46,17.97,32.42,56.26,42.24,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",97.6,Invertivore ground,Invertivore,Forest,9,Altricial_2,Telluraves
725,Passeriformes,Thraupidae,Geospiza_magnirostris,Geospiza_magnirostris,22.11,26.04,23.33,13.01,20.79,35.88,26.44,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",34.5,Granivore ground,Granivore,Shrubland,13.2,Altricial_2,Telluraves
726,Passeriformes,Grallariidae,Grallaria_quitensis,Grallaria_quitensis,27.43,26.95,24.05,13.06,30.54,58.39,48.77,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",65.7,Invertivore ground,Invertivore,Shrubland,7.4,Altricial_2,Telluraves
727,Passeriformes,Corvidae,Gymnorhinus_cyanocephalus,Gymnorhinus_cyanocephalus,32.36,39.67,35.6,20.43,29.67,51.14,37.3,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",104.8,NA,Omnivore,Forest,39.2,Altricial_2,Telluraves
728,Passeriformes,Hirundinidaw,Hirundo_spilodera,Hirundo_spilodera,15.92,25.74,23.43,12.77,14.19,22.07,12.7,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",20.6,Invertivore aerial,NA,NA,NA,Altricial_2,Telluraves
729,Passeriformes,Mimidae,Melanotis_caerulescens,Melanotis_caerulescens,25.89,32.24,28.81,15.82,26.84,43.72,31.3,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",61.6,NA,Omnivore,Forest,15.2,Altricial_2,Telluraves
730,Passeriformes,Passerellidae,Melospiza_melodia,Melospiza_melodia,15.05,17.43,15.43,8.92,16.81,26.94,19.76,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",21.9,NA,Omnivore,Shrubland,13.2,Altricial_2,Telluraves
731,Passeriformes,Pittidae,Pitta_sordida,Pitta_sordida,30.86,37.93,36,17.11,25.98,49.37,39.57,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",64.5,Invertivore ground,Invertivore,Forest,18.9,Altricial_2,Telluraves
732,Passeriformes,Pycnonotidae,Pycnonotus_cafer,Pycnonotus_cafer,23.4,26.64,23.33,11.31,21.44,32.59,23.4,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",42.9,NA,Omnivore,Shrubland,15.7,Altricial_2,Telluraves
733,Passeriformes,Icteridae,Quiscalus_mexicanus,Quiscalus_mexicanus,41.54,49.74,44.14,25.19,38.04,67.24,49.05,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",160.5,NA,Omnivore,Human Modified,46,Altricial_2,Telluraves
734,Passeriformes,Troglodytidae,Salpinctes_obsoletus,Salpinctes_obsoletus,17.38,19.63,17.64,9.87,16.95,28.01,20.66,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",16.4,Invertivore ground,Invertivore,Rock,11.8,Altricial_2,Telluraves
735,Passeriformes,Icteridae,Sturnella_neglecta,Sturnella_neglecta,33.09,38.06,34.22,19.25,30.9,48.9,36.52,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",100.1,Invertivore ground,Invertivore,Grassland,32.5,Altricial_2,Telluraves
736,Passeriformes,Furnariidae,Synallaxis_brachyura,Synallaxis_brachyura,15.25,15.33,14.4,9.15,16.84,28.67,20.7,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",18.3,Invertivore glean arboreal,Invertivore,Shrubland,7.5,Altricial_2,Telluraves
737,Passeriformes,Mimidae,Toxostoma_redivivum,Toxostoma_redivivum,27.28,29.09,25.79,15.65,30.07,49.7,37.26,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",84.4,Invertivore ground,Invertivore,Shrubland,9.8,Altricial_2,Telluraves
738,Passeriformes,Turdidae,Turdus_merula,Turdus_merula,31.4,36.43,32.25,19,30.88,48.36,34.91,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",102.7,NA,Omnivore,Forest,29.8,Altricial_2,Telluraves
739,Passeriformes,Turdidae,Turdus_nudigenis,Turdus_nudigenis,27.54,36.42,32.75,16.57,25.48,43.11,31.68,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",63.9,Invertivore ground,Invertivore,Woodland,22.3,Altricial_2,Telluraves
740,Psittaciformes,Cacatuidae,Cacatua_tenuirostris,Cacatua_tenuirostris,72.98,86.69,80.47,51.06,52.54,74.94,25.03,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",566.6,Granivore ground,Granivore,Woodland,117.5,Altricial_2,Telluraves
741,Cariamiformes,Cariamidae,Chunga_burmeisteri,Chunga_burmeisteri,81.42,75.39,70.55,40.07,67.57,149.39,129,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",1298,Invertivore ground,Invertivore,Woodland,32.1,Semialtricial,Telluraves
742,Falconiformes,Falconidae,Milvago_chimachima,Milvago_chimachima,74.41,79.58,74.44,41.92,51.76,75.93,55.9,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",315.2,NA,Omnivore,Grassland,85.5,Semialtricial,Telluraves
743,Psittaciformes,Cacatuidae,Nymphicus_hollandicus,Nymphicus_hollandicus,33.56,39.89,37.21,27.52,25.69,38.05,15.09,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",94.6,Granivore ground,Granivore,Grassland,83.8,Altricial_2,Telluraves
744,Psittaciformes,Psittaculidae,Psephotus_haematonotus,Psephotus_haematonotus,25.79,28.27,26.32,20.08,21.41,31.97,13.58,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",61.4,Granivore ground,Granivore,Woodland,56.9,Altricial_2,Telluraves
745,Psittaciformes,Psittaculidae,Psephotus_varius,Psephotus_varius,26.81,31.86,29.57,22.3,22.97,33.55,15.39,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",61.5,Granivore ground,NA,NA,NA,Altricial_2,Telluraves
746,Bucerotiformes,Upupidae,Upupa_epops,Upupa_epops,31.84,41.77,36.67,19.24,22.99,33.95,20.98,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",66.9,Invertivore ground,Invertivore,Grassland,30.5,Altricial_2,Telluraves
747,Ciconiiformes,Ciconiidae,Ciconia_ciconia,Ciconia_ciconia,218.5,250,240,117.62,101.59,266.5,233,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",3445.8,NA,Omnivore,Grassland,260.2,Semialtricial,Phaethoquornithes
748,Pelecaniformes,Ardeidae,Egretta_tricolor,Egretta_tricolor,100.36,119.17,114.93,58.5,59.39,142.6,107.78,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",372.3,Aquatic ground,Aquatic predator,Coastal,87.4,Semialtricial,Phaethoquornithes
749,Eurypygiformes,Eurypygidae,Eurypyga_helias,Eurypyga_helias,49.8,55.64,51.71,36.27,29.54,73.53,51.11,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",210,Aquatic ground,Aquatic predator,Wetland,33.5,Precocial_3,Phaethoquornithes
750,Ciconiiformes,Ciconiidae,Leptoptilos_javanicus,Leptoptilos_javanicus,232.5,294.5,282,131.53,113.48,307.5,252.5,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",4651,NA,Omnivore,Wetland,213.2,Semialtricial,Phaethoquornithes
751,Ciconiiformes,Ciconiidae,Mycteria_cinerea,Mycteria_cinerea,159.5,198.5,187,87.46,82.82,239,186,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",2393,Aquatic ground,Aquatic predator,Coastal,216.2,Semialtricial,Phaethoquornithes
752,Pelecaniformes,Ardeidae,Nyctanassa_violacea,Nyctanassa_violacea,101.54,116.37,110.07,54.02,61.93,126.43,91.97,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",681.7,Aquatic ground,Aquatic predator,Coastal,99.1,Semialtricial,Phaethoquornithes
753,Pelecaniformes,Threskiornithidae,Platalea_alba,Platalea_alba,142.84,167,158.5,75.08,81.04,193.5,143.15,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",1521,Aquatic ground,Aquatic predator,Wetland,138.2,Semialtricial,Phaethoquornithes
754,Pelecaniformes,Ardeidae,Syrigma_sibilatrix,Syrigma_sibilatrix,101.26,122.58,117.73,59.43,57.52,121,91.36,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",463,NA,Omnivore,Wetland,87.2,Semialtricial,Phaethoquornithes
755,Pelecaniformes,Ardeidae,Tigrisoma_mexicanum,Tigrisoma_mexicanum,106.45,125.91,118.11,55.37,78.5,127.59,92.39,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",1154.4,Aquatic ground,Aquatic predator,Wetland,87.5,Semialtricial,Phaethoquornithes
756,Charadriiformes,Scolopacidae,Aphriza_virgata,Aphriza_virgata,46.42,49.67,47.41,29.39,33.11,53.2,33.14,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",200.97,Aquatic ground,NA,NA,NA,Precocial_1,Cursorimorphae
757,Charadriiformes,Scolopacidae,Calidris_alpina,Calidris_alpina,28.93,30.17,28.88,18.76,20.95,38.55,24.77,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",51.9,Aquatic ground,Aquatic predator,Wetland,61.6,Precocial_1,Cursorimorphae
758,Charadriiformes,Scolopacidae,Calidris_himantopus,Calidris_himantopus,32.92,35.93,34.21,20.71,22.47,54.25,43.49,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",57.2,Aquatic ground,Aquatic predator,Wetland,66,Precocial_1,Cursorimorphae
759,Charadriiformes,Scolopacidae,Calidris_mauri,Calidris_mauri,24.76,25.52,24.2,14.92,17.34,36.11,22.51,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",27.8,Aquatic ground,Aquatic predator,Shrubland,45.5,Precocial_1,Cursorimorphae
760,Charadriiformes,Scolopacidae,Calidris_ptilocnemis,Calidris_ptilocnemis,33.06,33.7,31.87,21.62,25.79,42.28,23.35,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",81.3,Aquatic ground,Aquatic predator,Grassland,65,Precocial_1,Cursorimorphae
761,Charadriiformes,Scolopacidae,Catoptrophorus_semipalmatus,Catoptrophorus_semipalmatus,62.46,68.54,64.35,38.41,40.66,80.65,65.69,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",245.7,Aquatic ground,NA,NA,NA,Precocial_1,Cursorimorphae
762,Charadriiformes,Haematopodidae,Haematopus_ostralegus,Haematopus_ostralegus,81.2,88.29,84.11,43.96,51.23,87.09,58.49,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",526,Aquatic ground,Aquatic predator,Coastal,129.5,Precocial_3,Cursorimorphae
763,Charadriiformes,Haematopodidae,Haematopus_palliatus,Haematopus_palliatus,77.35,84.4,79.87,41.5,50.16,84.23,52.17,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",601.5,Aquatic ground,Aquatic predator,Coastal,117.5,Precocial_3,Cursorimorphae
764,Charadriiformes,Scolopacidae,Heteroscelus_incanus,Heteroscelus_incanus,42.48,46.05,43.56,26.4,30.99,52.35,33.56,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",108.24,Aquatic ground,NA,NA,NA,Precocial_1,Cursorimorphae
765,Charadriiformes,Scolopacidae,Limnodromus_griseus,Limnodromus_griseus,40.98,43.37,41.69,25.92,27.7,52.86,36.14,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",110.5,Aquatic ground,Aquatic predator,Wetland,71.8,Precocial_1,Cursorimorphae
766,Charadriiformes,Scolopacidae,Limnodromus_scolopaceus,Limnodromus_scolopaceus,40.95,43.73,41.61,26.11,28.85,58.02,40.03,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",104.4,Aquatic ground,Aquatic predator,Wetland,74.2,Precocial_1,Cursorimorphae
767,Charadriiformes,Recurvirostridae,Recurvirostra_avosetta,Recurvirostra_avosetta,73.68,77.92,74.87,41.45,39.98,112.22,94.54,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",304,Aquatic ground,Aquatic predator,Wetland,107.8,Precocial_1,Cursorimorphae
768,Charadriiformes,Rostratulidae,Rostratula_benghalensis,Rostratula_benghalensis,41.75,46.51,44.04,26.97,33.25,61.4,43.94,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",121,Aquatic ground,Aquatic predator,Wetland,38.5,Precocial_2,Cursorimorphae
769,Charadriiformes,Scolopacidae,Tringa_solitaria,Tringa_solitaria,31.58,34.79,34.03,21.45,22.06,45.22,30.97,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",48.4,Aquatic ground,Aquatic predator,Wetland,63.9,Precocial_1,Cursorimorphae
770,Charadriiformes,Scolopacidae,Tringa_totanus,Tringa_totanus,46.13,48.54,45.98,28.97,32.69,65.25,49.85,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",129,Aquatic ground,Aquatic predator,Wetland,74.1,Precocial_1,Cursorimorphae
771,Charadriiformes,Charadriidae,Vanellus_indicus,Vanellus_indicus,52.34,57.91,55.13,31.46,33.17,83.41,72.11,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",181,Invertivore ground,Invertivore,Wetland,90.6,Precocial_1,Cursorimorphae
772,Gruiformes,Rallidae,Amaurornis_phoenicurus,Amaurornis_phoenicurus,49.18,43.8,40.58,30.48,50.47,86.7,58.77,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",180,Aquatic ground,Aquatic predator,Wetland,33.7,Precocial_3,Cursorimorphae
773,Gruiformes,Rallidae,Aramides_cajanea,Aramides_cajanea,58.26,51.23,46.31,35.69,65.56,100.86,74.29,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",397,Aquatic ground,NA,NA,NA,Precocial_3,Cursorimorphae
774,Gruiformes,Rallidae,Aramides_ypecaha,Aramides_ypecaha,70.6,62.3,56.74,43.39,76.67,126.8,86.78,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",700.1,NA,Omnivore,Forest,31,Precocial_3,Cursorimorphae
775,Gruiformes,Gruidae,Grus_monacha,Grus_monacha,207,235,224,105.3,117.54,254.5,213,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",3729.9,NA,Omnivore,Wetland,215.5,Precocial_3,Cursorimorphae
776,Gruiformes,Rallidae,Porphyrio_martinica,Porphyrio_martinica,50.45,44.8,41.91,31.45,51.22,91.77,62.28,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",235.06,Herbivore aquatic ground,NA,NA,NA,Precocial_3,Cursorimorphae
777,Gruiformes,Rallidae,Porzana_carolina,Porzana_carolina,32.25,27.67,25,19.46,34.36,51.45,31.69,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",74.8,NA,Omnivore,Wetland,34.8,Precocial_3,Cursorimorphae
778,Gruiformes,Rallidae,Rallus_limicola,Rallus_limicola,54.46,44.29,40.79,30.09,53.45,76.81,50.56,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",84.1,Aquatic ground,Aquatic predator,Wetland,26.8,Precocial_3,Cursorimorphae
779,Gruiformes,Rallidae,Rallus_longirostris,Rallus_longirostris,58.79,47.76,44.4,31.42,56.76,80.4,53.69,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",259.4,Aquatic ground,Aquatic predator,Coastal,23.7,Precocial_3,Cursorimorphae
780,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias_minor,Phoeniconaias_minor,160,173,168,76.75,76.66,255,236,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",1500,Herbivore aquatic ground,Herbivore aquatic,Wetland,152,Semiprecocial,Mirandornithes
781,Passeriformes,Cinclidae,Cinclus_mexicanus,Cinclus_mexicanus,21.02,26.93,22.82,15.32,20.57,38.31,28.7,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",56.7,Generalist,Aquatic predator,Riverine,23.6,Altricial_2,Telluraves
782,Sphenisciformes,Spheniscidae,Pygoscelis_adeliae,Pygoscelis_adeliae,71.38,49.28,45.9,38.24,79.58,122.88,31.17,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",4847.7,Aquatic dive,Aquatic predator,Marine,7.2,Altricial_1,Phaethoquornithes
783,Sphenisciformes,Spheniscidae,Spheniscus_magellanicus,Spheniscus_magellanicus,71.58,47.95,51.09,41.96,76.41,109.05,33.95,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",4105.1,Aquatic dive,Aquatic predator,Marine,4.1,Altricial_1,Phaethoquornithes
784,Charadriiformes,Alcidae,Brachyramphus_brevirostris,Brachyramphus_brevirostris,50.18,41.35,40.22,28.08,25.73,42.03,17.3,NHMLAC_unknown,"Bell et al., 2021. Front.EarthSci.",234,Aquatic dive,Aquatic predator,Marine,73.6,Semiprecocial,Cursorimorphae
